"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95","values"
"2015.0740",25817.6860877931,23595.9094229235,28039.4627526628,22419.7719016515,29215.6002739347,2015-01-28
"2015.0767",25830.4860719823,23608.7094071127,28052.2627368519,22432.5718858407,29228.4002581239,2015-01-29
"2015.0795",25851.9988081381,23630.2221432684,28073.7754730077,22454.0846219964,29249.9129942797,2015-01-30
"2015.0822",25880.0029857458,23658.2263208761,28101.7796506154,22482.0887996041,29277.9171718874,2015-01-31
"2015.0849",25911.631739807,23689.8550749374,28133.4084046766,22513.7175536654,29309.5459259486,2015-02-01
"2015.0877",25943.6845558646,23721.9078909949,28165.4612207342,22545.770369723,29341.5987420062,2015-02-02
"2015.0904",25972.9368095172,23751.1601446476,28194.7134743868,22575.0226233756,29370.8509956588,2015-02-03
"2015.0932",25996.4248671345,23774.6482022648,28218.2015320041,22598.5106809929,29394.3390532761,2015-02-04
"2015.0959",26011.6876913644,23789.9110264948,28233.464356234,22613.7735052228,29409.601877506,2015-02-05
"2015.0986",26016.9501154035,23795.1734505339,28238.7267802731,22619.0359292619,29414.8643015451,2015-02-06
"2015.1014",26011.2380282112,23789.4613633416,28233.0146930808,22613.3238420696,29409.1522143528,2015-02-07
"2015.1041",25994.421253658,23772.6445887883,28216.1979185276,22596.5070675163,29392.3354397996,2015-02-08
"2015.1068",25967.1854945438,23745.4088296742,28188.9621594134,22569.2713084022,29365.0996806854,2015-02-09
"2015.1096",25930.9399419715,23709.1632771019,28152.7166068411,22533.0257558299,29328.8541281131,2015-02-10
"2015.1123",25887.6716548859,23665.8949900162,28109.4483197555,22489.7574687443,29285.5858410275,2015-02-11
"2015.1151",25839.7612909209,23617.9846260512,28061.5379557905,22441.8471047793,29237.6754770625,2015-02-12
"2015.1178",25789.7769995642,23568.0003346946,28011.5536644339,22391.8628134226,29187.6911857059,2015-02-13
"2015.1205",25740.2641515376,23518.487486668,27962.0408164073,22342.349965396,29138.1783376792,2015-02-14
"2015.1233",25693.5480580074,23471.7713931377,27915.324722877,22295.6338718657,29091.462244149,2015-02-15
"2015.1260",25651.5650164738,23429.7883516042,27873.3416813434,22253.6508303322,29049.4792026154,2015-02-16
"2015.1288",25615.7340876727,23393.957422803,27837.5107525423,22217.819901531,29013.6482738143,2015-02-17
"2015.1315",25586.8782187722,23365.1015539026,27808.6548836419,22188.9640326306,28984.7924049138,2015-02-18
"2015.1342",25565.1989992437,23343.4223343741,27786.9756641133,22167.2848131021,28963.1131853853,2015-02-19
"2015.1370",25550.3048163217,23328.5281514521,27772.0814811914,22152.3906301801,28948.2190024633,2015-02-20
"2015.1397",25541.2878221182,23319.5111572485,27763.0644869878,22143.3736359766,28939.2020082598,2015-02-21
"2015.1425",25536.8412684638,23315.0646035942,27758.6179333334,22138.9270823222,28934.7554546054,2015-02-22
"2015.1452",25535.405697106,23313.6290322364,27757.1823619756,22137.4915109644,28933.3198832476,2015-02-23
"2015.1479",25535.3304141258,23313.5537492562,27757.1070789955,22137.4162279842,28933.2446002674,2015-02-24
"2015.1507",25535.035768388,23313.2591035184,27756.8124332576,22137.1215822464,28932.9499545296,2015-02-25
"2015.1534",25533.1620431458,23311.3853782762,27754.9387080154,22135.2478570042,28931.0762292874,2015-02-26
"2015.1562",25528.6922126205,23306.9155477509,27750.4688774901,22130.7780264789,28926.6063987621,2015-02-27
"2015.1589",25521.0382776414,23299.2616127718,27742.814942511,22123.1240914998,28918.952463783,2015-02-28
"2015.1616",25510.0841650345,23288.3075001649,27731.8608299041,22112.1699788929,28907.9983511761,2015-03-01
"2015.1644",25496.1819828102,23274.4053179406,27717.9586476798,22098.2677966686,28894.0961689518,2015-03-02
"2015.1671",25480.1024568946,23258.3257920249,27701.8791217642,22082.1882707529,28878.0166430362,2015-03-03
"2015.1699",25462.944310023,23241.1676451533,27684.7209748926,22065.0301238813,28860.8584961646,2015-03-04
"2015.1726",25446.0108646819,23224.2341998123,27667.7875295515,22048.0966785403,28843.9250508235,2015-03-05
"2015.1753",25430.664979245,23208.8883143753,27652.4416441146,22032.7507931034,28828.5791653866,2015-03-06
"2015.1781",25418.175334996,23196.3986701263,27639.9519998656,22020.2611488543,28816.0895211376,2015-03-07
"2015.1808",25409.5679294542,23187.7912645846,27631.3445943238,22011.6537433126,28807.4821155958,2015-03-08
"2015.1836",25405.49633016,23183.7196652904,27627.2729950296,22007.5821440184,28803.4105163016,2015-03-09
"2015.1863",25406.1428235849,23184.3661587152,27627.9194884545,22008.2286374433,28804.0570097265,2015-03-10
"2015.1890",25411.160163975,23189.3834991054,27632.9368288446,22013.2459778334,28809.0743501166,2015-03-11
"2015.1918",25419.6603733789,23197.8837085093,27641.4370382486,22021.7461872373,28817.5745595205,2015-03-12
"2015.1945",25430.2532180665,23208.4765531968,27652.0298829361,22032.3390319249,28828.1674042081,2015-03-13
"2015.1973",25441.1328847136,23219.356219844,27662.9095495833,22043.218698572,28839.0470708553,2015-03-14
"2015.2000",25450.2073218317,23228.4306569621,27671.9839867013,22052.2931356901,28848.1215079733,2015-03-15
"2015.2027",25455.2610165474,23233.4843516778,27677.0376814171,22057.3468304058,28853.1752026891,2015-03-16
"2015.2055",25454.1389373608,23232.3622724912,27675.9156022305,22056.2247512192,28852.0531235024,2015-03-17
"2015.2082",25444.9372358499,23223.1605709803,27666.7139007195,22047.0230497083,28842.8514219915,2015-03-18
"2015.2110",25426.185244248,23204.4085793783,27647.9619091176,22028.2710581064,28824.0994303896,2015-03-19
"2015.2137",25397.0034312095,23175.2267663399,27618.7800960792,21999.0892450679,28794.9176173511,2015-03-20
"2015.2164",25357.2232968269,23135.4466319573,27578.9999616966,21959.3091106853,28755.1374829685,2015-03-21
"2015.2192",25307.4576226175,23085.6809577479,27529.2342874872,21909.5434364759,28705.3718087591,2015-03-22
"2015.2219",25249.1128810833,23027.3362162137,27470.889545953,21851.1986949417,28647.027067225,2015-03-23
"2015.2247",25184.3397179221,22962.5630530525,27406.1163827917,21786.4255317805,28582.2539040637,2015-03-24
"2015.2274",25115.9219571598,22894.1452922901,27337.6986220294,21718.0077710182,28513.8361433014,2015-03-25
"2015.2301",25047.1092190799,22825.3325542103,27268.8858839496,21649.1950329383,28445.0234052215,2015-03-26
"2015.2329",24981.4026446038,22759.6259797341,27203.1793094734,21583.4884584622,28379.3168307454,2015-03-27
"2015.2356",24922.3070619757,22700.530397106,27144.0837268453,21524.3928758341,28320.2212481173,2015-03-28
"2015.2384",24873.0659225601,22651.2892576905,27094.8425874297,21475.1517364185,28270.9801087017,2015-03-29
"2015.2411",24836.397239759,22614.6205748893,27058.1739046286,21438.4830536174,28234.3114259006,2015-03-30
"2015.2438",24814.2494302383,22592.4727653687,27036.0260951079,21416.3352440967,28212.1636163799,2015-03-31
"2015.2466",24807.5953075632,22585.8186426935,27029.3719724328,21409.6811214215,28205.5094937048,2015-04-01
"2015.2493",24816.2805344798,22594.5038696102,27038.0571993494,21418.3663483382,28214.1947206214,2015-04-02
"2015.2521",24838.9397119555,22617.1630470859,27060.7163768251,21441.0255258139,28236.8538980971,2015-04-03
"2015.2548",24872.9891649844,22651.2125001148,27094.765829854,21475.0749788428,28270.903351126,2015-04-04
"2015.2575",24914.7006421324,22692.9239772627,27136.477307002,21516.7864559908,28312.614828274,2015-04-05
