"","x","values"
"216",24069.1,2014-08-04
"217",26344.1,2014-08-05
"218",27405.1,2014-08-06
"219",26900.8,2014-08-07
"220",27354.4,2014-08-08
"221",27726.5,2014-08-09
"222",24648.9,2014-08-10
"223",24360.6,2014-08-11
"224",25739.1,2014-08-12
"225",27358.2,2014-08-13
"226",27800.1,2014-08-14
"227",28325.7,2014-08-15
"228",28413.3,2014-08-16
"229",25824.7,2014-08-17
"230",24370.9,2014-08-18
"231",26982.5,2014-08-19
"232",27668.1,2014-08-20
"233",27601.7,2014-08-21
"234",27816.1,2014-08-22
"235",28361.5,2014-08-23
"236",26746,2014-08-24
"237",25564,2014-08-25
"238",28494.4,2014-08-26
"239",29476.7,2014-08-27
"240",28422.6,2014-08-28
"241",28405,2014-08-29
"242",28837.7,2014-08-30
"243",26268.7,2014-08-31
"244",26226.5,2014-09-01
"245",29194.1,2014-09-02
"246",30000.9,2014-09-03
"247",30012.8,2014-09-04
"248",29611.2,2014-09-05
"249",29592.1,2014-09-06
"250",27456.4,2014-09-07
"251",26411.8,2014-09-08
"252",29127.8,2014-09-09
"253",29698.1,2014-09-10
"254",30056.4,2014-09-11
"255",29514.4,2014-09-12
"256",30000.7,2014-09-13
"257",27608,2014-09-14
"258",26545.2,2014-09-15
"259",30008.6,2014-09-16
"260",30303.2,2014-09-17
"261",30452.6,2014-09-18
"262",30823.4,2014-09-19
"263",31495.5,2014-09-20
"264",29518.3,2014-09-21
"265",27444.5,2014-09-22
"266",29801.5,2014-09-23
"267",32797.4,2014-09-24
"268",34026.8,2014-09-25
"269",32864.2,2014-09-26
"270",32233.5,2014-09-27
"271",27749.7,2014-09-28
"272",27270.8,2014-09-29
"273",31288.8,2014-09-30
"274",32752,2014-10-01
"275",33792.3,2014-10-02
"276",33228.9,2014-10-03
"277",33180.2,2014-10-04
"278",29450.4,2014-10-05
"279",28056.4,2014-10-06
"280",31279.2,2014-10-07
"281",31782.7,2014-10-08
"282",32148,2014-10-09
"283",33220.6,2014-10-10
"284",32197.3,2014-10-11
"285",29853.4,2014-10-12
"286",29621.1,2014-10-13
"287",34106.9,2014-10-14
"288",34067.4,2014-10-15
"289",34666,2014-10-16
"290",35220.1,2014-10-17
"291",36153.9,2014-10-18
"292",32734.6,2014-10-19
"293",29276.2,2014-10-20
"294",31097,2014-10-21
"295",34297,2014-10-22
"296",34821.8,2014-10-23
