"","predtslow.80%","predtslow.95%","predtshigh.80%","predtshigh.95%"
"1",36181.7207227495,35070.2355728215,40381.0115791256,41492.4967290536
"2",35181.5480152452,33856.1930696476,40188.8581937587,41514.2131393564
"3",35430.842031405,34105.046963754,40439.8150306179,41765.610098269
"4",35703.8543663244,34377.6193226781,40714.489634416,42040.7246780622
"5",35998.7025874186,34672.0277136899,41010.9995731171,42337.6744468458
"6",36313.1856892412,34986.0711311979,41327.143841823,42654.2583998664
"7",36644.8112264089,35317.2571296738,41660.4299956975,42987.9840924326
