"","trainplot","values"
"213",27595.802,2014-08-01
"214",27246.698,2014-08-02
"215",24944.22,2014-08-03
"216",22721.872,2014-08-04
"217",23948.077,2014-08-05
"218",25378.06,2014-08-06
"219",25417.328,2014-08-07
"220",24573.241,2014-08-08
"221",24139.521,2014-08-09
"222",23626.829,2014-08-10
"223",21545.138,2014-08-11
"224",22381.953,2014-08-12
"225",22615.069,2014-08-13
"226",22797.248,2014-08-14
"227",22800.147,2014-08-15
"228",20675.268,2014-08-16
"229",20903.38,2014-08-17
"230",20161.86,2014-08-18
"231",21604.92,2014-08-19
"232",22663.73,2014-08-20
"233",22027.12,2014-08-21
"234",22473.98,2014-08-22
"235",22913.05,2014-08-23
"236",22823.74,2014-08-24
"237",21038.1,2014-08-25
"238",22530.08,2014-08-26
"239",24972.22,2014-08-27
"240",25458.89,2014-08-28
"241",25454.13,2014-08-29
"242",25408.04,2014-08-30
"243",24450.03,2014-08-31
"244",21751.83,2014-09-01
"245",23593.01,2014-09-02
"246",25748.15,2014-09-03
"247",26831.82,2014-09-04
"248",26710.29,2014-09-05
"249",26669.91,2014-09-06
"250",24817.35,2014-09-07
"251",22405.67,2014-09-08
"252",23537.74,2014-09-09
"253",26085.39,2014-09-10
"254",26752.14,2014-09-11
"255",26777.3,2014-09-12
"256",26619.34,2014-09-13
"257",24832.06,2014-09-14
"258",22874.87,2014-09-15
"259",24203.84,2014-09-16
"260",26451.59,2014-09-17
"261",25961.41,2014-09-18
"262",25749.72,2014-09-19
"263",26493.58,2014-09-20
"264",25322.55,2014-09-21
"265",22373.46,2014-09-22
"266",23797.51,2014-09-23
"267",26085.84,2014-09-24
"268",26230.18,2014-09-25
"269",26110.3,2014-09-26
"270",25890.66,2014-09-27
"271",25043.54,2014-09-28
"272",21332.31,2014-09-29
"273",22913.63,2014-09-30
"274",25437.97,2014-10-01
"275",25436.26,2014-10-02
"276",25740.22,2014-10-03
"277",26069.7,2014-10-04
"278",24479.67,2014-10-05
"279",21622.69,2014-10-06
"280",23006.25,2014-10-07
"281",25181.32,2014-10-08
"282",25624.69,2014-10-09
"283",25394.45,2014-10-10
"284",25163.62,2014-10-11
"285",24180.16,2014-10-12
"286",21438.23,2014-10-13
"287",22966.15,2014-10-14
"288",24945.31,2014-10-15
"289",25266.14,2014-10-16
"290",25908.19,2014-10-17
"291",26437.45,2014-10-18
"292",24794.72,2014-10-19
"293",21622.23,2014-10-20
"294",22859.34,2014-10-21
"295",25969.1,2014-10-22
"296",27143.55,2014-10-23
"297",27218.48,2014-10-24
"298",26516.89,2014-10-25
"299",24280.36,2014-10-26
"300",20988.09,2014-10-27
"301",21175.72,2014-10-28
"302",24473.67,2014-10-29
"303",24539.91,2014-10-30
"304",24454.87,2014-10-31
"305",24834.8,2014-11-01
"306",21795.97,2014-11-02
"307",19837.87,2014-11-03
"308",20757.25,2014-11-04
"309",23715.9,2014-11-05
"310",23900.01,2014-11-06
"311",24006.08,2014-11-07
"312",24186.43,2014-11-08
"313",22857.66,2014-11-09
"314",20351.61,2014-11-10
"315",20500.14,2014-11-11
"316",23533.01,2014-11-12
"317",24105.49,2014-11-13
"318",24697.11,2014-11-14
"319",24083.49,2014-11-15
"320",23053.81,2014-11-16
"321",20811.11,2014-11-17
"322",21201.74,2014-11-18
"323",24406.42,2014-11-19
"324",24911.02,2014-11-20
"325",24812.94,2014-11-21
"326",24705.7,2014-11-22
"327",23855.69,2014-11-23
"328",21400.72,2014-11-24
"329",21644.47,2014-11-25
"330",24159.99,2014-11-26
"331",24976.21,2014-11-27
"332",25222.13,2014-11-28
"333",24810.85,2014-11-29
"334",23458.38,2014-11-30
"335",21315.99,2014-12-01
"336",21937.1,2014-12-02
"337",25017.44,2014-12-03
"338",24721.74,2014-12-04
"339",24674.78,2014-12-05
"340",25185.19,2014-12-06
"341",24730.72,2014-12-07
"342",21661.6,2014-12-08
"343",21384.07,2014-12-09
"344",22800.31,2014-12-10
"345",25856.38,2014-12-11
"346",25238.35,2014-12-12
"347",24683.03,2014-12-13
"348",23324.45,2014-12-14
"349",21207.49,2014-12-15
"350",21382.72,2014-12-16
"351",24250.26,2014-12-17
"352",25266.47,2014-12-18
"353",24893.13,2014-12-19
"354",24452.29,2014-12-20
"355",23147.96,2014-12-21
"356",20630.21,2014-12-22
"357",20494.41,2014-12-23
"358",20651.42,2014-12-24
"359",20556.26,2014-12-25
"360",18731.86,2014-12-26
"361",18207.78,2014-12-27
"362",19010.27,2014-12-28
"363",19039.81,2014-12-29
"364",20083.14,2014-12-30
"365",19799.42,2014-12-31
