"","Prezzo","Consumi","Gradi","Consumiperc","Prezzoperc"
"1",29.46,33154.5,-9,0,0
"2",28.64,32427.6,-9,-2.19246256164322,-2.78343516632722
"3",27.72,31971.2,-9,-1.40744304234664,-3.2122905027933
"4",27.79,31505.4,-9,-1.45693624261835,0.252525252525254
"5",28.87,31433.4,-8,-0.228532251614009,3.88629003238576
"6",30.15,31667.9,-7,0.746021747567874,4.43366816764807
"7",32.02,32244.3,-6,1.82013963666678,6.2023217247098
"8",34.65,33043.6,-4,2.47888774139925,8.21361648969393
"9",36.35,33901.3,-3,2.59566148966821,4.90620490620491
"10",36.82,34468.7,-2,1.67368213018378,1.29298486932599
"11",37.34,35247.2,0,2.25857081932304,1.41227593699077
"12",37.25,35616.1,1,1.04660795751152,-0.241028387787904
"13",35.93,35705.8,1,0.251852392597742,-3.54362416107383
"14",35.57,35749.9,1,0.123509345820563,-1.00194823267464
"15",35.92,36110.9,2,1.00979303438611,0.983975260050608
"16",36.49,36681.1,2,1.57902461583621,1.58685968819599
"17",36.79,37505,1,2.24611584712564,0.822143052891195
"18",36.91,38425.6,2,2.45460605252633,0.326175591193252
"19",35.66,39418.8,2,2.58473517654898,-3.38661609319968
"20",34.95,38729.8,2,-1.74789694257562,-1.99102636006729
"21",34.06,36523.3,3,-5.69716342454647,-2.54649499284693
"22",33.34,35458.2,3,-2.91622060438133,-2.11391661773341
"23",32.07,34262.8,3,-3.37129352307786,-3.80923815236953
"24",29.49,32985.1,3,-3.7291172933911,-8.04490177736203
"25",29.46,31703.1,3,-3.88660334514675,-0.101729399796533
"26",28.64,31222.9,3,-1.51467837530083,-2.78343516632722
"27",27.72,31016.7,4,-0.660412709902029,-3.2122905027933
"28",27.79,30947.1,4,-0.22439524514214,0.252525252525254
"29",28.87,31534.1,4,1.89678515919101,3.88629003238576
"30",30.15,33133.2,4,5.07101835790461,4.43366816764807
"31",32.02,36357.1,4,9.73011963830841,6.2023217247098
"32",34.65,40963.3,5,12.6693273115843,8.21361648969393
"33",36.35,43360.7,5,5.85255582435984,4.90620490620491
"34",36.82,43982.9,5,1.43493993408779,1.29298486932599
"35",37.34,44328.4,6,0.785532559244616,1.41227593699077
"36",37.25,44318.8,6,-0.0216565452396174,-0.241028387787904
"37",35.93,43736,6,-1.31501755462694,-3.54362416107383
"38",35.57,43513.1,5,-0.509648801902326,-1.00194823267464
"39",35.92,43639.3,5,0.290027600883422,0.983975260050608
"40",36.49,44124,5,1.11069609274209,1.58685968819599
"41",36.79,44631.1,5,1.14926117305774,0.822143052891195
"42",36.91,44641.6,5,0.0235261958589414,0.326175591193252
"43",35.66,43837.6,4,-1.80101071646178,-3.38661609319968
"44",34.95,42813.8,4,-2.33543807142726,-1.99102636006729
"45",34.06,41453.9,4,-3.17631231051671,-2.54649499284693
"46",33.34,40085.2,3,-3.30174000516237,-2.11391661773341
"47",32.07,38347.2,3,-4.33576482093142,-3.80923815236953
"48",29.49,34660.2,3,-9.61478282638628,-8.04490177736203
"49",29,32029.6,2,-7.58968499893249,-1.66158019667683
"50",25.54,31372.7,2,-2.05091540325199,-11.9310344827586
"51",22.95,31398.1,2,0.0809621103698369,-10.1409553641347
"52",22.93,31289.6,3,-0.345562311095257,-0.0871459694989088
"53",24.5,31828.1,3,1.72101912456535,6.84692542520715
"54",28.92,32908.1,2,3.39322799664447,18.0408163265306
"55",32.25,38262.4,3,16.2704622874004,11.5145228215768
"56",33.37,41785.9,3,9.20877937609768,3.47286821705426
"57",33.7,42898.9,2,2.66357790546572,0.988912196583774
"58",33.47,42766.4,3,-0.308865728491873,-0.682492581602386
"59",33.46,42888.2,3,0.284803022933882,-0.0298775022408067
"60",33.38,42578.3,3,-0.722576372988361,-0.239091452480569
"61",33.41,42409.5,3,-0.396446076992278,0.0898741761533674
"62",33.45,42400.6,3,-0.0209858640163205,0.119724633343329
"63",33.44,42651.5,3,0.591736909383361,-0.0298953662182515
"64",33.73,43447.8,2,1.8669917822351,0.867224880382773
"65",33.96,44010.6,2,1.29534752047283,0.68188556181442
"66",33.8,44161.3,3,0.342417508509324,-0.471142520612496
"67",33.6,43430,4,-1.65597480146645,-0.591715976331348
