"","tot.Prezzo","tot.Consumi","tot.Gradi","tot.Consumiperc","tot.Prezzoperc","dummy_ts_ita.BankHoliday","dummy_ts_ita.EndYear","dummy_ts_ita.AugustBorder","dummy_ts_ita.AugustCenter","dummy_ts_ita.DayOfWeek","dummy_ts_ita.DayOff"
"63",84.02,36202.14,4,2.27673771183734,5.06439914968113,0,1,0,0,0,0
"64",85.45,36777.1,4,1.58819340514124,1.70197572006666,0,1,0,0,0,0
"65",92.47,38447.89,3,4.54301725802198,8.21533060269163,0,1,0,0,0,0
"66",111.24,41753.44,3,8.59748090207292,20.2984751811398,0,1,0,0,0,0
"67",116.61,41857.45,3,0.24910522342589,4.82740021574973,0,1,0,0,0,0
"68",104.66,40720.2,3,-2.71695958545014,-10.2478346625504,0,1,0,0,0,0
"69",95.63,38308.01,2,-5.92381668066462,-8.62793808522836,0,1,0,0,0,0
"70",91.63,35614.13,2,-7.03215854856466,-4.18278782808742,0,1,0,0,0,0
"71",82.67,31887.6,2,-10.4636277791989,-9.77845683728036,0,1,0,0,0,0
"72",75.24,28256.18,1,-11.3881885121489,-8.98754082496674,0,1,0,0,0,0
"73",68.3,25125.99,1,-11.0778951719588,-9.22381711855396,0,1,0,0,0,0
"74",59.03,23371.53,1,-6.98265023587131,-13.5724743777452,0,1,0,0,0,0
"75",59.01,22518.98,1,-3.64781424237095,-0.0338810774182672,0,1,0,0,0,0
"76",57.14,22150.96,0,-1.63426585040708,-3.16895441450601,0,1,0,0,0,0
"77",55.88,22279.19,0,0.578891388905942,-2.20511025551277,0,1,0,0,0,0
"78",55.88,23632.29,0,6.07338058520082,0,0,1,0,0,0,0
"79",72.03,27459.91,0,16.1965683393357,28.9012168933429,0,1,0,0,0,0
"80",83.08,33032.88,0,20.2949317750859,15.3408302096349,0,1,0,0,0,0
"81",91.71,36620.92,0,10.8620259571675,10.387578237843,0,1,0,0,0,0
"82",89.48,38188.94,0,4.28176026162096,-2.43157779958564,0,1,0,0,0,0
"83",87.7,38152.94,1,-0.094268131034797,-1.98927134555208,0,1,0,0,0,0
"84",86.08,37895.71,2,-0.674207544687259,-1.84720638540479,0,1,0,0,0,0
"85",79.34,36167.54,2,-4.56033149926469,-7.82992565055762,0,1,0,0,0,0
"86",77.76,35161.73,2,-2.78097432117307,-1.99142929165616,0,1,0,0,0,0
"87",80.29,35879.26,5,2.04065613381366,3.25360082304527,0,1,0,0,0,0
"88",84.5,36526.29,5,1.80335380384099,5.24349234026653,0,1,0,0,0,0
"89",89.5,38219.23,4,4.63485341653916,5.91715976331361,0,1,0,0,0,0
"90",110.11,41505.48,4,8.59842021935031,23.0279329608939,0,1,0,0,0,0
"91",114.09,41503.58,8,-0.0045777087748448,3.61456725093089,0,1,0,0,0,0
"92",102.49,40696.49,2,-1.94462742732074,-10.1674116925235,0,1,0,0,0,0
"93",96.02,38431.88,0,-5.5646322324112,-6.3128110059518,0,1,0,0,0,0
"94",86.93,35637,1,-7.27229581274712,-9.46677775463444,0,1,0,0,0,0
"95",81.19,31798.29,0,-10.7716979543733,-6.60301391924538,0,1,0,0,0,0
"96",71.68,28137.6,0,-11.5122228270766,-11.7132651804409,0,1,0,0,0,0
"97",60,25008.02,0,-11.1224127146594,-16.2946428571429,0,1,0,0,0,0
"98",52.67,23313.15,0,-6.77730584028643,-12.2166666666667,0,1,0,0,0,0
"99",49,22431.53,-1,-3.78164254937665,-6.96791342320107,0,1,0,0,0,0
"100",40,22026.55,-2,-1.80540515961238,-18.3673469387755,0,1,0,0,0,0
"101",47.01,22117.62,-2,0.413455579743535,17.525,0,1,0,0,0,0
"102",47.02,23395.38,-2,5.77711345072391,0.0212720697723997,0,1,0,0,0,0
"103",71.53,27067.54,-1,15.6960904246907,52.1267545725223,0,1,0,0,0,0
"104",84.42,32607.85,0,20.4684651800644,18.0204110163568,0,1,0,0,0,0
"105",96.63,36033.25,-1,10.5048324253209,14.4633972992182,0,1,0,0,0,0
"106",92.15,37474.46,2,3.99966697425294,-4.63624133291937,0,1,0,0,0,0
"107",89.64,37409.76,4,-0.172650920119989,-2.72381985892567,0,1,0,0,0,0
"108",88.8,37201.12,5,-0.557715419719344,-0.93708165997323,0,1,0,0,0,0
"109",81.84,35419.74,9,-4.78851174373246,-7.83783783783783,0,1,0,0,0,0
"110",80.21,34386.67,2,-2.91665043278127,-1.99169110459434,0,1,0,0,0,0
"111",83.97,35187.09,10,2.3277043110019,4.687694801147,0,1,0,0,0,0
"112",86.81,35833.14,9,1.836042707709,3.38216029534358,0,1,0,0,0,0
"113",91.65,37534.95,8,4.74926283323202,5.57539453979957,0,1,0,0,0,0
"114",152.45,40875.59,7,8.90007846020842,66.3393344244408,0,1,0,0,0,0
"115",125.38,40932.98,2,0.140401643132262,-17.7566415218104,0,1,0,0,0,0
"116",109.9,40239.11,7,-1.69513678212532,-12.346466741107,0,1,0,0,0,0
"117",92.64,37867.55,7,-5.89366911942137,-15.705186533212,0,1,0,0,0,0
"118",88.26,35098.63,2,-7.31211815921549,-4.72797927461139,0,1,0,0,0,0
"119",80.26,31288.9,9,-10.8543552839527,-9.06412871062769,0,1,0,0,0,0
"120",71.69,27679.35,8,-11.5361997385654,-10.6777971592325,0,1,0,0,0,0
"121",81.28,25473.87,9,-7.96796167540061,13.3770400334775,1,0,0,0,0,0
"122",67.57,23645.73,7,-7.17653030340502,-16.8676181102362,1,0,0,0,0,0
"123",67.33,22437.67,6,-5.10899853800243,-0.355187213260315,1,0,0,0,0,0
"124",60.99,21803.26,8,-2.82743261666652,-9.41630773800683,1,0,0,0,0,0
"125",61,21526.76,7,-1.26815898173026,0.0163961305131956,1,0,0,0,0,0
"126",52.97,21911.49,7,1.78721739825224,-13.1639344262295,1,0,0,0,0,0
"127",35,22763.46,7,3.8882339813495,-33.9248631300736,1,0,0,0,0,0
"128",49.62,24338.01,7,6.91700646562517,41.7714285714286,1,0,0,0,0,0
"129",63.22,25453.16,7,4.58192761035106,27.4083031035873,1,0,0,0,0,0
"130",65.31,27429.7,8,7.76540123112415,3.30591584941475,1,0,0,0,0,0
"131",66.05,28617.2,10,4.32924895277746,1.13305772469759,1,0,0,0,0,0
"132",66.17,29299.54,10,2.38437023887732,0.181680545041642,1,0,0,0,0,0
"133",64.96,29065.62,11,-0.798374308948201,-1.82862324316157,1,0,0,0,0,0
"134",61.18,27344.83,11,-5.92036226992577,-5.81896551724137,1,0,0,0,0,0
"135",61.1,26917.56,11,-1.56252571327012,-0.130761686825757,1,0,0,0,0,0
"136",63.25,27157.2,11,0.890273858403211,3.51882160392798,1,0,0,0,0,0
"137",71.15,28500.86,10,4.9477118406905,12.4901185770751,1,0,0,0,0,0
"138",88.64,31899.61,9,11.9250787520096,24.5818692902319,1,0,0,0,0,0
"139",91.23,32869.57,9,3.04066413351135,2.92193140794224,1,0,0,0,0,0
"140",94.15,34270.54,9,4.26220969729753,3.20070152362162,1,0,0,0,0,0
"141",92.63,33456.17,8,-2.37629754302092,-1.61444503451939,1,0,0,0,0,0
"142",91.91,32044.08,10,-4.22071623858916,-0.777285976465507,1,0,0,0,0,0
"143",85.33,29540.5,10,-7.81292519554314,-7.15917745620716,1,0,0,0,0,0
"144",75.79,26807.67,10,-9.2511298048442,-11.1801242236025,1,0,0,0,0,0
"145",70,24213.66,10,-9.67637247101295,-7.63953028103972,0,0,0,0,1,0
"146",58.5,22514.6,8,-7.01694828456335,-16.4285714285714,0,0,0,0,1,0
"147",58.5,21490.3,9,-4.54949232942179,0,0,0,0,0,1,0
"148",58.5,21052.26,10,-2.03831496070321,0,0,0,0,0,1,0
"149",58.5,21054.51,9,0.0106876886377045,0,0,0,0,0,1,0
"150",58.5,21773.54,4,3.41508778879206,0,0,0,0,0,1,0
"151",62.26,23909.49,3,9.80984258875681,6.42735042735042,0,0,0,0,1,0
"152",75.01,27028.24,0,13.0439837905367,20.4786379698041,0,0,0,0,1,0
