,TSTOT.PrezzoScandi,TSTOT.ConsumiScandi,TSTOT.GradiScandi,TSTOT.ConsumipercScandi,TSTOT.PrezzopercScandi,TSTOT.BankHolidayScandi,TSTOT.EndYearScandi,TSTOT.DayOfWeekScandi,TSTOT.DayOffScandi,lunedi,martedi,mercoledi,giovedi,venerdi,sabato,domenica
33,79.18,49355.2,-12.0,-1.80023875845603,-32.664342205969895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
34,67.11,48589.7,-16.0,-0.907318505708217,-35.1343514401701,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35,52.9,49502.1,-7.0,-0.906417588664982,-10.202003055508401,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36,124.78,49917.9,-8.0,-0.009214282137309921,-12.6801959412176,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37,68.01,49742.8,-5.0,-0.6386017478152249,-22.2031571722718,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
38,169.9,49422.5,-7.0,-0.7566371414859301,-19.095238095238102,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
39,69.94,50133.0,-8.0,-0.881396948919316,-32.8275067230119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
40,60.02,49815.8,-8.0,-0.22732143250556303,-12.0843708803281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
41,43.92,46585.8,-3.0,-2.9349257413364906,-6.33397312859885,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42,43.81,46850.3,-2.0,-0.440523953622785,-0.18227386648438898,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43,45.17,48989.5,-3.0,-1.54645390783577,-6.88517831374974,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
44,41.46,47212.9,-1.0,-2.1265083843470003,-2.9948525970987405,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
45,42.11,47734.3,-3.0,-1.8267263098359798,-4.70694727313872,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
46,40.17,47325.7,-2.0,-3.1076742910023,-9.38416422287389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
47,39.98,46009.5,-6.0,-1.99380132281049,-6.97999069334574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
48,35.69,42900.1,-3.0,-2.4922380365755497,-1.5448275862068999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
49,36.65,43309.4,1.0,-0.9355328648806909,-0.8655666756829872,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50,36.9,45843.6,2.0,-2.21679972868573,-3.63019065030034,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
51,39.63,46034.8,1.0,-1.4201893014690101,-10.013623978201599,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
52,35.05,43922.5,5.0,-1.8873108556673,-2.1496370742602,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
53,34.43,43671.3,5.0,-1.1379997283469798,-1.03478010922679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
54,32.92,42011.0,4.0,-1.88953318651754,-1.61386730424387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
55,33.37,40916.0,0.0,-2.06023932000373,-1.3888888888889097,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
56,35.0,43233.5,-2.0,-0.287374216121091,-0.142653352353772,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
57,36.95,45589.2,0.0,-0.7858490586568659,-12.9359095193214,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
