"","giorni_settimana"
"456","merc"
"457","giov"
"458","ven"
"459","sab"
"460","dom"
"461","lun"
"462","mar"
"463","merc"
"464","giov"
"465","ven"
"466","sab"
"467","dom"
"468","lun"
"469","mar"
"470","merc"
"471","giov"
"472","ven"
"473","sab"
"474","dom"
"475","lun"
"476","mar"
"477","merc"
"478","giov"
"479","ven"
"480","sab"
"481","dom"
"482","lun"
"483","mar"
"484","merc"
"485","giov"
"486","ven"
"487","sab"
"488","dom"
"489","lun"
"490","mar"
"491","merc"
"492","giov"
"493","ven"
"494","sab"
"495","dom"
"496","lun"
"497","mar"
"498","merc"
"499","giov"
"500","ven"
"501","sab"
"502","dom"
"503","lun"
"504","mar"
"505","merc"
"506","giov"
"507","ven"
"508","sab"
"509","dom"
"510","lun"
"511","mar"
"512","merc"
"513","giov"
"514","ven"
"515","sab"
"516","dom"
"517","lun"
"518","mar"
"519","merc"
"520","giov"
"521","ven"
"522","sab"
"523","dom"
"524","lun"
"525","mar"
"526","merc"
"527","giov"
"528","ven"
"529","sab"
"530","dom"
"531","lun"
"532","mar"
"533","merc"
"534","giov"
"535","ven"
"536","sab"
"537","dom"
"538","lun"
"539","mar"
"540","merc"
"541","giov"
"542","ven"
"543","sab"
"544","dom"
"545","lun"
"546","mar"
"547","merc"
"548","giov"
"549","ven"
"550","sab"
"551","dom"
"552","lun"
"553","mar"
"554","merc"
"555","giov"
"556","ven"
"557","sab"
"558","dom"
"559","lun"
"560","mar"
"561","merc"
"562","giov"
"563","ven"
"564","sab"
"565","dom"
"566","lun"
"567","mar"
"568","merc"
"569","giov"
"570","ven"
"571","sab"
"572","dom"
"573","lun"
"574","mar"
"575","merc"
"576","giov"
"577","ven"
"578","sab"
"579","dom"
"580","lun"
"581","mar"
"582","merc"
"583","giov"
"584","ven"
"585","sab"
"586","dom"
"587","lun"
"588","mar"
"589","merc"
"590","giov"
"591","ven"
"592","sab"
"593","dom"
"594","lun"
"595","mar"
"596","merc"
"597","giov"
"598","ven"
"599","sab"
"600","dom"
"601","lun"
"602","mar"
"603","merc"
"604","giov"
"605","ven"
"606","sab"
"607","dom"
"608","lun"
"609","mar"
"610","merc"
"611","giov"
"612","ven"
"613","sab"
"614","dom"
"615","lun"
"616","mar"
"617","merc"
"618","giov"
"619","ven"
"620","sab"
"621","dom"
"622","lun"
"623","mar"
"624","merc"
"625","giov"
"626","ven"
"627","sab"
"628","dom"
"629","lun"
"630","mar"
"631","merc"
"632","giov"
"633","ven"
"634","sab"
"635","dom"
"636","lun"
"637","mar"
"638","merc"
"639","giov"
"640","ven"
"641","sab"
"642","dom"
"643","lun"
"644","mar"
"645","merc"
"646","giov"
"647","ven"
"648","sab"
"649","dom"
"650","lun"
"651","mar"
"652","merc"
"653","giov"
"654","ven"
"655","sab"
"656","dom"
"657","lun"
"658","mar"
"659","merc"
"660","giov"
"661","ven"
"662","sab"
"663","dom"
"664","lun"
"665","mar"
"666","merc"
"667","giov"
"668","ven"
"669","sab"
"670","dom"
"671","lun"
"672","mar"
"673","merc"
"674","giov"
"675","ven"
"676","sab"
"677","dom"
"678","lun"
"679","mar"
"680","merc"
"681","giov"
"682","ven"
"683","sab"
"684","dom"
"685","lun"
"686","mar"
"687","merc"
"688","giov"
"689","ven"
"690","sab"
"691","dom"
"692","lun"
"693","mar"
"694","merc"
"695","giov"
"696","ven"
"697","sab"
"698","dom"
"699","lun"
"700","mar"
"701","merc"
"702","giov"
"703","ven"
"704","sab"
"705","dom"
"706","lun"
"707","mar"
"708","merc"
"709","giov"
"710","ven"
"711","sab"
"712","dom"
"713","lun"
"714","mar"
"715","merc"
"716","giov"
"717","ven"
"718","sab"
"719","dom"
"720","lun"
"721","mar"
"722","merc"
"723","giov"
"724","ven"
"725","sab"
"726","dom"
"727","lun"
"728","mar"
"729","merc"
"730","giov"
"731","ven"
"732","sab"
"733","dom"
"734","lun"
"735","mar"
"736","merc"
"737","giov"
"738","ven"
"739","sab"
"740","dom"
"741","lun"
"742","mar"
"743","merc"
"744","giov"
"745","ven"
"746","sab"
"747","dom"
"748","lun"
"749","mar"
"750","merc"
"751","giov"
"752","ven"
"753","sab"
"754","dom"
"755","lun"
"756","mar"
"757","merc"
"758","giov"
"759","ven"
"760","sab"
"761","dom"
"762","lun"
"763","mar"
"764","merc"
"765","giov"
"766","ven"
"767","sab"
"768","dom"
"769","lun"
"770","mar"
"771","merc"
"772","giov"
"773","ven"
"774","sab"
"775","dom"
"776","lun"
"777","mar"
"778","merc"
"779","giov"
"780","ven"
"781","sab"
"782","dom"
"783","lun"
"784","mar"
"785","merc"
"786","giov"
"787","ven"
"788","sab"
"789","dom"
"790","lun"
"791","mar"
"792","merc"
"793","giov"
"794","ven"
"795","sab"
"796","dom"
"797","lun"
"798","mar"
"799","merc"
"800","giov"
"801","ven"
"802","sab"
"803","dom"
"804","lun"
"805","mar"
"806","merc"
"807","giov"
"808","ven"
"809","sab"
"810","dom"
"811","lun"
"812","mar"
"813","merc"
"814","giov"
"815","ven"
"816","sab"
"817","dom"
"818","lun"
"819","mar"
"820","merc"
"821","giov"
"822","ven"
"823","sab"
"824","dom"
"825","lun"
"826","mar"
"827","merc"
"828","giov"
"829","ven"
"830","sab"
"831","dom"
"832","lun"
"833","mar"
"834","merc"
"835","giov"
"836","ven"
"837","sab"
"838","dom"
"839","lun"
"840","mar"
"841","merc"
"842","giov"
"843","ven"
"844","sab"
"845","dom"
"846","lun"
"847","mar"
"848","merc"
"849","giov"
"850","ven"
"851","sab"
"852","dom"
"853","lun"
"854","mar"
"855","merc"
"856","giov"
"857","ven"
"858","sab"
"859","dom"
"860","lun"
"861","mar"
"862","merc"
"863","giov"
"864","ven"
"865","sab"
"866","dom"
"867","lun"
"868","mar"
"869","merc"
"870","giov"
"871","ven"
"872","sab"
"873","dom"
"874","lun"
"875","mar"
"876","merc"
"877","giov"
"878","ven"
"879","sab"
"880","dom"
"881","lun"
"882","mar"
"883","merc"
"884","giov"
"885","ven"
"886","sab"
"887","dom"
"888","lun"
"889","mar"
"890","merc"
"891","giov"
"892","ven"
"893","sab"
"894","dom"
"895","lun"
"896","mar"
"897","merc"
"898","giov"
"899","ven"
"900","sab"
"901","dom"
"902","lun"
"903","mar"
"904","merc"
"905","giov"
"906","ven"
"907","sab"
"908","dom"
"909","lun"
"910","mar"
"911","merc"
