"","date"
"1249","2015-06-03"
"1250","2015-06-04"
"1251","2015-06-05"
"1252","2015-06-06"
"1253","2015-06-07"
"1254","2015-06-08"
"1255","2015-06-09"
"1256","2015-06-10"
"1257","2015-06-11"
"1258","2015-06-12"
"1259","2015-06-13"
"1260","2015-06-14"
"1261","2015-06-15"
"1262","2015-06-16"
"1263","2015-06-17"
"1264","2015-06-18"
"1265","2015-06-19"
"1266","2015-06-20"
"1267","2015-06-21"
"1268","2015-06-22"
"1269","2015-06-23"
"1270","2015-06-24"
"1271","2015-06-25"
"1272","2015-06-26"
"1273","2015-06-27"
"1274","2015-06-28"
"1275","2015-06-29"
"1276","2015-06-30"
"1277","2015-07-01"
"1278","2015-07-02"
"1279","2015-07-03"
"1280","2015-07-04"
"1281","2015-07-05"
"1282","2015-07-06"
"1283","2015-07-07"
"1284","2015-07-08"
"1285","2015-07-09"
"1286","2015-07-10"
"1287","2015-07-11"
"1288","2015-07-12"
"1289","2015-07-13"
"1290","2015-07-14"
"1291","2015-07-15"
"1292","2015-07-16"
"1293","2015-07-17"
"1294","2015-07-18"
"1295","2015-07-19"
"1296","2015-07-20"
"1297","2015-07-21"
"1298","2015-07-22"
"1299","2015-07-23"
"1300","2015-07-24"
"1301","2015-07-25"
"1302","2015-07-26"
"1303","2015-07-27"
"1304","2015-07-28"
"1305","2015-07-29"
"1306","2015-07-30"
"1307","2015-07-31"
"1308","2015-08-01"
"1309","2015-08-02"
"1310","2015-08-03"
"1311","2015-08-04"
"1312","2015-08-05"
"1313","2015-08-06"
"1314","2015-08-07"
"1315","2015-08-08"
"1316","2015-08-09"
"1317","2015-08-10"
"1318","2015-08-11"
"1319","2015-08-12"
"1320","2015-08-13"
"1321","2015-08-14"
"1322","2015-08-15"
"1323","2015-08-16"
"1324","2015-08-17"
"1325","2015-08-18"
"1326","2015-08-19"
"1327","2015-08-20"
"1328","2015-08-21"
"1329","2015-08-22"
"1330","2015-08-23"
"1331","2015-08-24"
"1332","2015-08-25"
"1333","2015-08-26"
"1334","2015-08-27"
"1335","2015-08-28"
"1336","2015-08-29"
"1337","2015-08-30"
"1338","2015-08-31"
"1339","2015-09-01"
"1340","2015-09-02"
"1341","2015-09-03"
"1342","2015-09-04"
"1343","2015-09-05"
"1344","2015-09-06"
"1345","2015-09-07"
"1346","2015-09-08"
"1347","2015-09-09"
"1348","2015-09-10"
"1349","2015-09-11"
"1350","2015-09-12"
"1351","2015-09-13"
"1352","2015-09-14"
"1353","2015-09-15"
"1354","2015-09-16"
"1355","2015-09-17"
"1356","2015-09-18"
"1357","2015-09-19"
"1358","2015-09-20"
"1359","2015-09-21"
"1360","2015-09-22"
"1361","2015-09-23"
"1362","2015-09-24"
"1363","2015-09-25"
"1364","2015-09-26"
"1365","2015-09-27"
"1366","2015-09-28"
"1367","2015-09-29"
"1368","2015-09-30"
"1369","2015-10-01"
"1370","2015-10-02"
"1371","2015-10-03"
"1372","2015-10-04"
"1373","2015-10-05"
"1374","2015-10-06"
"1375","2015-10-07"
"1376","2015-10-08"
"1377","2015-10-09"
"1378","2015-10-10"
"1379","2015-10-11"
"1380","2015-10-12"
"1381","2015-10-13"
"1382","2015-10-14"
"1383","2015-10-15"
"1384","2015-10-16"
"1385","2015-10-17"
"1386","2015-10-18"
"1387","2015-10-19"
"1388","2015-10-20"
"1389","2015-10-21"
"1390","2015-10-22"
"1391","2015-10-23"
"1392","2015-10-24"
"1393","2015-10-25"
"1394","2015-10-26"
"1395","2015-10-27"
"1396","2015-10-28"
"1397","2015-10-29"
"1398","2015-10-30"
"1399","2015-10-31"
"1400","2015-11-01"
"1401","2015-11-02"
"1402","2015-11-03"
"1403","2015-11-04"
"1404","2015-11-05"
"1405","2015-11-06"
"1406","2015-11-07"
"1407","2015-11-08"
"1408","2015-11-09"
"1409","2015-11-10"
"1410","2015-11-11"
"1411","2015-11-12"
"1412","2015-11-13"
"1413","2015-11-14"
"1414","2015-11-15"
"1415","2015-11-16"
"1416","2015-11-17"
"1417","2015-11-18"
"1418","2015-11-19"
"1419","2015-11-20"
"1420","2015-11-21"
"1421","2015-11-22"
"1422","2015-11-23"
"1423","2015-11-24"
"1424","2015-11-25"
"1425","2015-11-26"
"1426","2015-11-27"
"1427","2015-11-28"
"1428","2015-11-29"
"1429","2015-11-30"
"1430","2015-12-01"
"1431","2015-12-02"
"1432","2015-12-03"
"1433","2015-12-04"
"1434","2015-12-05"
"1435","2015-12-06"
"1436","2015-12-07"
"1437","2015-12-08"
"1438","2015-12-09"
"1439","2015-12-10"
"1440","2015-12-11"
"1441","2015-12-12"
"1442","2015-12-13"
"1443","2015-12-14"
"1444","2015-12-15"
"1445","2015-12-16"
"1446","2015-12-17"
"1447","2015-12-18"
"1448","2015-12-19"
"1449","2015-12-20"
"1450","2015-12-21"
"1451","2015-12-22"
"1452","2015-12-23"
"1453","2015-12-24"
"1454","2015-12-25"
"1455","2015-12-26"
"1456","2015-12-27"
"1457","2015-12-28"
"1458","2015-12-29"
"1459","2015-12-30"
"1460","2015-12-31"
