,TSTOT.PrezzoScandi,TSTOT.ConsumiScandi,TSTOT.GradiScandi,TSTOT.ConsumipercScandi,TSTOT.PrezzopercScandi,TSTOT.BankHolidayScandi,TSTOT.EndYearScandi,TSTOT.DayOfWeekScandi,TSTOT.DayOffScandi,lunedi,martedi,mercoledi,giovedi,venerdi,sabato,domenica
33,85.22,50379.2,-11.0,-1.27532823829121,-1.02206736353077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
34,51.27,47443.2,-12.0,-0.167708620475611,-7.688152682751159,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35,42.82,45638.6,-10.0,0.12175565066877901,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36,90.91,49563.4,-6.0,-0.49288380189082703,-10.530459600433,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37,94.04,49671.1,-4.0,-1.05437406873253,-5.2016129032258,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
38,111.88,48879.2,-4.0,-1.08708849693625,3.9873594200204403,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
39,79.83,49745.7,-6.0,-0.9428664733806992,7.44279946164199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
40,80.37,49966.3,-9.0,-0.776057398063025,-23.6026615969582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
41,44.72,46505.0,-3.0,-0.587008012039433,-0.600133362969556,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42,38.48,42297.1,-1.0,0.875266216870458,1.90677966101695,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43,52.07,49715.2,-4.0,-0.427210911603599,-8.40809146877749,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
44,45.62,47953.3,0.0,-0.8409842845326659,-1.5749730312837198,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
45,39.04,46614.2,-2.0,-0.9020270629378121,-1.86023127199598,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
46,49.46,48674.3,-3.0,-0.819334751530264,-14.8269330118822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
47,39.77,46243.3,-1.0,-0.8813726435820709,-0.525262631315642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
48,35.59,42179.7,-3.0,-0.365659214116153,-0.5032149846239861,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
49,34.9,39830.2,3.0,0.15111855388847,-0.399543378995435,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50,39.74,46801.6,0.0,-1.04198382895227,-6.77926342950974,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
51,37.31,44752.7,4.0,-0.9571718173207159,-0.373831775700936,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
52,35.66,44467.4,3.0,-1.0971804264613199,-0.861829302196281,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
53,33.53,42736.7,4.0,-1.2489255312266,-1.440329218107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
54,33.22,42629.6,6.0,-1.08843190165828,-1.2191495688373601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
55,30.68,38860.0,3.0,-0.42127489468128004,-0.647668393782381,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
56,33.31,39881.7,0.0,0.252127878857948,0.270921131848294,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
57,38.29,45866.8,1.0,-0.5045618814995391,-7.42263056092843,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58,34.1,43259.1,4.0,-1.05217170527298,-0.698893418753646,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
59,35.19,43489.0,10.0,-1.4572159493883101,-1.37331838565023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
60,34.59,42666.2,4.0,-0.31611041669101103,-0.8029825064525209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
61,33.97,42478.0,6.0,-1.8952113925161498,-3.19179253348534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
62,32.02,38861.0,3.0,-0.682629619122826,-0.373366521468567,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
63,32.28,38793.8,-2.0,-0.113291690054534,0.0309885342423242,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
64,37.74,45181.3,1.0,-0.917332608180764,-8.972503617945009,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
65,36.05,44892.1,1.0,-1.15508172104094,-4.93143459915613,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
66,32.77,44437.0,1.0,-1.3668406847077301,-2.4412027389103903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
67,33.4,44361.1,1.0,-1.1374703319478998,-2.39625949736996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
68,32.32,42983.0,3.0,-1.81463494862646,-1.9119878603945402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
69,29.85,37205.8,5.0,-1.3184662187789198,-1.3549239920687401,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
70,30.06,36409.2,5.0,-0.41465175816723293,-0.364600596619168,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
71,32.3,41299.5,11.0,-1.2854558014021,-0.8594229588704759,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
72,31.26,40291.0,10.0,-0.842412504029953,-1.3257575757575701,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
73,32.15,42043.2,4.0,-1.3822787779276398,-3.10427968655817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
74,31.95,42048.6,8.0,-1.16025969507924,-1.35844396418648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
75,31.78,41267.8,5.0,-1.81650341531192,-2.27552275522756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
76,28.57,36439.7,5.0,-0.665957910805809,-1.21023513139696,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
77,29.14,36658.5,7.0,0.913377763463246,-0.17129153819801501,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
78,31.28,41856.9,0.0,-1.27810221043992,-1.23144932112409,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
79,29.85,40795.9,2.0,-1.2117308330286298,-0.665557404326121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
80,30.26,39831.7,11.0,-2.11754240245348,-0.9168303863785121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
81,30.09,39402.2,13.0,-1.70681328330807,-2.24171539961014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
82,29.58,39146.0,11.0,-2.0505185722685804,-1.5640599001663997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
83,25.9,34994.1,9.0,-1.04485968623104,-1.5583428354237898,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
84,24.14,32014.3,6.0,-3.1811940894327098,-3.7863690713431604,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
85,31.43,40742.3,9.0,-1.33794085453859,-2.93390982087709,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
86,28.7,39001.0,12.0,-1.6727804459907498,-1.88034188034188,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
87,28.13,38866.0,11.0,-1.9394621379750498,-1.6433566433566498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
88,27.25,39495.8,7.0,-0.843049237288976,-1.12481857764876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
89,28.49,40125.1,5.0,-1.38103079607737,-1.9951840385277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
90,24.68,35775.7,0.0,-2.96325830932891,-2.8728846910665093,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
91,24.86,34789.4,3.0,-0.139789483352987,-0.240770465489576,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92,29.58,41758.5,1.0,-0.94903530952166,-2.2794846382557004,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
93,34.99,43250.9,2.0,-1.4803830454114801,-8.307127882599572,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
94,32.67,42652.5,5.0,-1.5672165348152398,-1.59638554216868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
95,31.92,40798.2,7.0,-1.5178506770946598,-1.4206300185299598,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
96,29.48,37463.6,1.0,-0.238063536867897,-0.23688663282572,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
97,29.42,36702.1,2.0,-0.89459784950883,-0.7757166947723341,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
98,30.65,35451.6,4.0,-0.684670551322281,-0.905269964435827,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
99,29.34,35511.0,6.0,2.95938278298535,3.6382903567644,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
100,32.57,40996.0,6.0,-0.123274522128504,0.0921942224953938,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
101,33.74,40625.5,6.0,-1.01794933643251,-3.92938496583142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
102,34.34,40427.3,7.0,-0.7129595064542009,-3.2676056338028103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
103,39.01,40731.9,6.0,-0.154431068589456,-1.5893037336024298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
104,32.81,36839.9,1.0,-0.5904146664615749,-0.485289657264169,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
105,31.8,34466.0,6.0,-0.417215634606943,-0.250941028858213,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
106,41.88,40834.9,8.0,-0.8462147370056871,-11.7014547754586,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
107,49.92,40182.1,5.0,-0.449169296937332,-3.70370370370371,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
108,52.14,40698.3,6.0,-0.9045576068059741,-10.056925996204901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
109,39.82,39718.8,9.0,-1.26823932983668,-3.1614785992217795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
110,41.51,39772.5,2.0,-1.1875628874175501,-3.57723577235772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
111,32.48,35664.5,6.0,-0.5562681240240911,-0.15370427297880201,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
112,32.42,33936.7,5.0,0.269163495402648,0.40260142458966397,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
113,40.12,38894.8,7.0,-1.40185257479505,-6.19593172784663,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
114,35.98,38526.2,11.0,-0.8635729688280159,-5.24097972083224,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
115,39.39,37589.9,12.0,-0.8778360247661079,-3.2899582617235397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
116,38.6,38343.5,4.0,-0.820214895785369,-4.573547589616809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
117,33.28,37626.5,15.0,-1.1218445657943898,-2.94546515018955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
118,29.46,33120.7,14.0,-1.05367246828827,-0.8748317631224699,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
119,25.35,30837.2,12.0,1.5691286132117799,2.05314009661836,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
120,32.76,36223.1,14.0,-1.10921827821368,-1.05708245243129,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
121,24.4,29723.6,11.0,0.294232767812545,-0.28606456885983,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
122,33.49,37492.4,16.0,-0.9385007239560691,-2.87122969837586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
123,33.95,37277.9,11.0,-0.793853556240375,-1.62271805273832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
124,36.04,37555.8,9.0,-0.679401365149789,-6.607929515418509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
125,30.88,33877.0,12.0,-0.526189063958977,-0.0647249190938498,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
126,31.74,33745.4,11.0,1.20502885111387,0.6022187004754289,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
127,39.03,37950.7,12.0,-0.553170972019155,-1.3646702047005301,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
128,37.84,36981.1,13.0,-0.47446807365424604,-1.5352589123080802,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
129,37.74,36992.9,13.0,-0.4376202715614071,-2.27861211807353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
130,37.41,36426.8,18.0,0.259271288044358,-0.213390237396653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
131,33.37,36068.6,18.0,-1.45541278588467,-6.0793695468618205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
132,28.49,32445.2,8.0,0.128689802027561,0.6713780918727839,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
133,30.7,31556.8,11.0,4.48164432907771,3.26269761183989,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
134,31.44,36888.4,12.0,-2.69762681642051,-7.0921985815602895,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135,39.65,36190.9,16.0,-0.482861974619495,-1.9292604501607702,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
136,39.3,36629.4,13.0,-0.331688947057659,-1.0574018126888298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
137,25.69,30356.5,13.0,0.5764930009111241,0.390777647518567,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
138,35.24,35796.1,13.0,-0.501438438981005,-2.94684659873313,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
139,28.87,32428.8,16.0,-0.14410819199645,-0.0346260387811565,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
140,26.32,29325.1,18.0,1.61615041564588,2.41245136186771,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
141,38.38,35526.4,19.0,-0.504947250796057,-3.6646586345381498,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
142,33.88,38059.8,20.0,-0.650759219088926,-2.27862705509085,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
143,31.73,38045.7,21.0,-0.833819880309448,-7.113583138173291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
144,33.91,37778.1,21.0,-0.555946016378307,-2.13564213564214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
145,30.3,37664.8,22.0,-0.827560421389648,-3.87055837563451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
146,23.55,32490.3,16.0,0.410414896082822,0.17014036580178302,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
147,21.5,30148.0,20.0,3.64660865738656,10.59670781893,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
148,24.73,34066.6,16.0,2.47905542603594,2.0214521452145298,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
149,29.79,37263.9,11.0,-0.9618400140329281,-2.10318764377259,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
150,33.27,38698.5,12.0,-0.0426191398682681,2.81211372064278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
